Data,Taxa de cambio - Livre - Dolar americano (venda) - diario - u.m.c./US$
10/07/2024,"5,3967"
11/07/2024,"5,41"
12/07/2024,"5,4529"
15/07/2024,"5,4563"
16/07/2024,"5,4274"
17/07/2024,"5,467"
18/07/2024,"5,5426"
19/07/2024,"5,5543"
22/07/2024,"5,5598"
23/07/2024,"5,5807"
24/07/2024,"5,6346"
25/07/2024,"5,6402"
26/07/2024,"5,6465"
29/07/2024,"5,6479"
30/07/2024,"5,6532"
31/07/2024,"5,6621"
01/08/2024,"5,6681"
02/08/2024,"5,7366"
05/08/2024,"5,7646"
06/08/2024,"5,6528"
07/08/2024,"5,6093"
08/08/2024,"5,6172"
09/08/2024,"5,5115"
12/08/2024,"5,4911"
13/08/2024,"5,4875"
14/08/2024,"5,4502"
15/08/2024,"5,4651"
16/08/2024,"5,4632"
19/08/2024,"5,4237"
20/08/2024,"5,4547"
21/08/2024,"5,4707"
22/08/2024,"5,5524"
23/08/2024,"5,5263"
26/08/2024,"5,4921"
27/08/2024,"5,4969"
28/08/2024,"5,5315"
29/08/2024,"5,6358"
30/08/2024,"5,6562"
02/09/2024,"5,623"
03/09/2024,"5,6224"
04/09/2024,"5,6359"
05/09/2024,"5,6049"
06/09/2024,"5,5702"
09/09/2024,"5,6097"
10/09/2024,"5,6254"
11/09/2024,"5,6387"
12/09/2024,"5,6554"
13/09/2024,"5,5717"
16/09/2024,"5,5207"
17/09/2024,"5,501"
18/09/2024,"5,4767"
